,sentiment_polarity,sentiment_polarity,sentiment_polarity,sentiment_polarity,sentiment_polarity,sentiment_polarity,sentiment_polarity,sentiment_polarity,sentiment_subjectivity,sentiment_subjectivity,sentiment_subjectivity,sentiment_subjectivity,sentiment_subjectivity,sentiment_subjectivity,sentiment_subjectivity,sentiment_subjectivity
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Date,,,,,,,,,,,,,,,,
2010-03-01,43.0,0.28012040567636504,0.3960598435727345,-1.0,0.05583333333333333,0.2809523809523809,0.5,1.0,43.0,0.4877347394207859,0.2081947893377718,0.13,0.2833333333333333,0.4875,0.65,0.9
2010-03-02,39.0,0.3200793997668998,0.39708703669502693,-0.4,0.08409090909090909,0.2510416666666667,0.5,1.0,39.0,0.48522981647981656,0.2299219276017662,0.1,0.3375,0.45,0.5520833333333333,1.0
2010-03-03,28.0,0.30032389423572464,0.3848734755179243,-0.4374999999999999,0.03808593750000001,0.30194805194805197,0.53125,1.0,28.0,0.4934183508290652,0.23472499349781767,0.1,0.3433333333333333,0.48238636363636367,0.6,1.0
2010-03-04,41.0,0.15541559614730346,0.30461815176357177,-0.6,-0.05,0.1,0.325,0.8,41.0,0.39741620619669416,0.26351875397600866,0.05,0.2272727272727273,0.375,0.5733333333333334,1.0
2010-03-05,28.0,0.2633415542790542,0.33190934767792696,-0.4,0.07571022727272728,0.22916666666666663,0.43579545454545454,0.8125,28.0,0.44805406399156406,0.22507213188472291,0.05,0.3322916666666667,0.5,0.6343749999999999,0.75
2010-03-06,16.0,0.2648540679155913,0.2922523177059569,-0.221875,0.11875,0.2583333333333333,0.49873046874999993,0.8666666666666667,16.0,0.5609211968586969,0.18115973149050046,0.3666666666666667,0.46875,0.5,0.6125,1.0
2010-03-07,13.0,0.24412670662670666,0.24271160584060722,-0.1277777777777778,0.03273809523809523,0.25,0.4,0.6500000000000001,13.0,0.425935175935176,0.27214180023056417,0.15,0.2,0.4363636363636363,0.5452380952380952,1.0
2010-03-08,17.0,0.16854575163398694,0.2968914230254651,-0.3,-0.075,0.125,0.3875,0.65,17.0,0.538562091503268,0.31512919031789793,0.06666666666666668,0.3333333333333333,0.5333333333333333,0.775,1.0
2010-03-09,32.0,0.2114818326024381,0.3453605148294225,-0.5,-0.052500000000000005,0.15,0.38749999999999996,1.0,32.0,0.43762693325193314,0.2602969080281393,0.08333333333333334,0.27499999999999997,0.4,0.565625,1.0
2010-03-10,25.0,0.33675811688311696,0.264374280317963,-0.13333333333333333,0.2,0.2857142857142857,0.55,0.8,25.0,0.5411558441558443,0.21890101854289523,0.3,0.4,0.5,0.6,1.0
